symbol,status,reason
AVGO,SKIP,ingest skipped (no live.db)
TSM,SKIP,ingest skipped (no live.db)
WMT,SKIP,ingest skipped (no live.db)
LLY,SKIP,ingest skipped (no live.db)
JPM,SKIP,ingest skipped (no live.db)
XOM,SKIP,ingest skipped (no live.db)
V,SKIP,ingest skipped (no live.db)
TCEHY,SKIP,ingest skipped (no live.db)
JNJ,SKIP,ingest skipped (no live.db)
ASML,SKIP,ingest skipped (no live.db)
MU,SKIP,ingest skipped (no live.db)
MA,SKIP,ingest skipped (no live.db)
COST,SKIP,ingest skipped (no live.db)
ORCL,SKIP,ingest skipped (no live.db)
ABBV,SKIP,ingest skipped (no live.db)
BAC,SKIP,ingest skipped (no live.db)
HD,SKIP,ingest skipped (no live.db)
RHHBY,SKIP,ingest skipped (no live.db)
PG,SKIP,ingest skipped (no live.db)
CVX,SKIP,ingest skipped (no live.db)
GE,SKIP,ingest skipped (no live.db)
CAT,SKIP,ingest skipped (no live.db)
KO,SKIP,ingest skipped (no live.db)
NFLX,SKIP,ingest skipped (no live.db)
AMD,SKIP,ingest skipped (no live.db)
PLTR,SKIP,ingest skipped (no live.db)
BABA,SKIP,ingest skipped (no live.db)
CSCO,SKIP,ingest skipped (no live.db)
NVS,SKIP,ingest skipped (no live.db)
LRCX,SKIP,ingest skipped (no live.db)
MRK,SKIP,ingest skipped (no live.db)
HSBC,SKIP,ingest skipped (no live.db)
AMAT,SKIP,ingest skipped (no live.db)
PM,SKIP,ingest skipped (no live.db)
MS,SKIP,ingest skipped (no live.db)
GS,SKIP,ingest skipped (no live.db)
RTX,SKIP,ingest skipped (no live.db)
WFC,SKIP,ingest skipped (no live.db)
UNH,SKIP,ingest skipped (no live.db)
RY,SKIP,ingest skipped (no live.db)
IBM,SKIP,ingest skipped (no live.db)
